Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SEA BASS, MIXED",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2008,HILLSBOROUGH,"SEA BASS, MIXED",559,13,0.85,474
2008,INDIAN RIVER,"SEA BASS, MIXED",204,4,1.04,212
2008,LEVY,"SEA BASS, MIXED",168,11,0.99,166
2008,MARTIN,"SEA BASS, MIXED",5,1,1.06,5
2008,NASSAU,"SEA BASS, MIXED",135,13,1.67,225
2008,PALM BEACH,"SEA BASS, MIXED",97,9,1.81,176
2008,PASCO,"SEA BASS, MIXED",139,4,0.85,118
2008,PINELLAS,"SEA BASS, MIXED",2473,155,0.7,1723
2008,ST JOHNS,"SEA BASS, MIXED",1638,68,1.18,1933
2008,ST LUCIE,"SEA BASS, MIXED",74,9,0.91,68
2008,TAYLOR,"SEA BASS, MIXED",1307,6,0.94,1229
2008,VOLUSIA,"SEA BASS, MIXED",3640,61,2.54,9257
2008,WAKULLA,"SEA BASS, MIXED",32741,111,1.1,36092
2009,BAY,"SEA BASS, MIXED",5,1,0.85,4
2009,BREVARD,"SEA BASS, MIXED",825,91,1.43,1180
2009,CITRUS,"SEA BASS, MIXED",1395,61,0.83,1164
2009,DIXIE,"SEA BASS, MIXED",87460,308,1.07,93825
2009,DUVAL,"SEA BASS, MIXED",2335,153,1.39,3235
2009,FLAGLER,"SEA BASS, MIXED",8,1,2.54,20
2009,FRANKLIN,"SEA BASS, MIXED",257,28,1.34,345
2009,HERNANDO,"SEA BASS, MIXED",365,31,0.68,248
2009,HILLSBOROUGH,"SEA BASS, MIXED",339,9,0.85,287
2009,INDIAN RIVER,"SEA BASS, MIXED",145,17,1.52,221
2009,LEVY,"SEA BASS, MIXED",6659,40,0.99,6618
2009,MANATEE,"SEA BASS, MIXED",60,8,0.8,48
2009,MARTIN,"SEA BASS, MIXED",28,3,1.06,30
2009,NASSAU,"SEA BASS, MIXED",26,2,1.58,41
2009,OKALOOSA,"SEA BASS, MIXED",65,5,1.2,79
2009,PALM BEACH,"SEA BASS, MIXED",25,6,1.92,47
2009,PASCO,"SEA BASS, MIXED",2,1,0.85,2
2009,PINELLAS,"SEA BASS, MIXED",1457,172,0.7,1015
2009,SARASOTA,"SEA BASS, MIXED",4,1,1.69,6
2009,ST JOHNS,"SEA BASS, MIXED",720,68,1.07,772
2009,ST LUCIE,"SEA BASS, MIXED",100,7,0.96,96
2009,TAYLOR,"SEA BASS, MIXED",11893,77,0.85,10146
2009,VOLUSIA,"SEA BASS, MIXED",43713,146,1.85,80682
2009,WAKULLA,"SEA BASS, MIXED",36415,226,1.12,40813
2010,BAY,"SEA BASS, MIXED",79,13,0.83,65
2010,BREVARD,"SEA BASS, MIXED",3454,60,1.77,6130
2010,CITRUS,"SEA BASS, MIXED",1574,43,0.59,928
2010,DIXIE,"SEA BASS, MIXED",122236,366,0.88,108014
2010,DUVAL,"SEA BASS, MIXED",1533,57,1.5,2294
2010,FRANKLIN,"SEA BASS, MIXED",2150,62,1.18,2530
2010,HERNANDO,"SEA BASS, MIXED",268,11,0.85,228
2010,HILLSBOROUGH,"SEA BASS, MIXED",627,10,1.2,750
2010,INDIAN RIVER,"SEA BASS, MIXED",326,17,1.71,557
2010,LEVY,"SEA BASS, MIXED",3701,19,1.12,4153
2010,MARTIN,"SEA BASS, MIXED",55,9,1.76,96
2010,OKALOOSA,"SEA BASS, MIXED",17,3,1.21,20
2010,PALM BEACH,"SEA BASS, MIXED",604,4,2.57,1556
2010,PINELLAS,"SEA BASS, MIXED",1570,100,0.81,1264
2010,ST JOHNS,"SEA BASS, MIXED",814,11,1.32,1073
2010,ST LUCIE,"SEA BASS, MIXED",152,6,2.08,317
2010,TAYLOR,"SEA BASS, MIXED",6052,27,0.85,5156
2010,VOLUSIA,"SEA BASS, MIXED",84318,83,1.57,132594
2010,WAKULLA,"SEA BASS, MIXED",67797,352,1.1,74842
2011,BAY,"SEA BASS, MIXED",25238,29,0.97,24577
2011,BREVARD,"SEA BASS, MIXED",17418,82,1.01,17548
2011,CHARLOTTE,"SEA BASS, MIXED",171,1,0.59,102
2011,CITRUS,"SEA BASS, MIXED",661,50,0.89,588
2011,DIXIE,"SEA BASS, MIXED",222853,647,0.84,187521
2011,DUVAL,"SEA BASS, MIXED",2275,37,1.65,3744
2011,ESCAMBIA,"SEA BASS, MIXED",78,1,0.85,66
2011,FRANKLIN,"SEA BASS, MIXED",2495,59,0.71,1784
2011,HERNANDO,"SEA BASS, MIXED",140,3,0.77,107
2011,HILLSBOROUGH,"SEA BASS, MIXED",114,3,0.95,109
2011,INDIAN RIVER,"SEA BASS, MIXED",2895,26,1.22,3533
2011,JEFFERSON,"SEA BASS, MIXED",59,1,1.06,63
2011,LEE,"SEA BASS, MIXED",5,2,0.42,2
2011,LEVY,"SEA BASS, MIXED",242,2,2.33,564
2011,MANATEE,"SEA BASS, MIXED",2,1,1.69,4
2011,MARTIN,"SEA BASS, MIXED",7,1,0.85,6
2011,OKALOOSA,"SEA BASS, MIXED",1,1,0.85,1
2011,PASCO,"SEA BASS, MIXED",166,4,1.35,224
2011,PINELLAS,"SEA BASS, MIXED",2137,153,0.89,1896
2011,ST JOHNS,"SEA BASS, MIXED",723,13,1.43,1031
2011,ST LUCIE,"SEA BASS, MIXED",230,6,2.08,478
2011,TAYLOR,"SEA BASS, MIXED",68347,90,1.02,69766
2011,VOLUSIA,"SEA BASS, MIXED",111256,86,1.24,137499
2011,WAKULLA,"SEA BASS, MIXED",185123,561,1.06,197011
2012,BAY,"SEA BASS, MIXED",25752,31,1.14,29327
2012,BREVARD,"SEA BASS, MIXED",1697,62,1.93,3272
2012,BROWARD,"SEA BASS, MIXED",20,1,0.85,17
2012,CITRUS,"SEA BASS, MIXED",575,42,0.86,494
2012,DIXIE,"SEA BASS, MIXED",377277,987,0.91,344334
2012,DUVAL,"SEA BASS, MIXED",7035,64,1.94,13621
2012,ESCAMBIA,"SEA BASS, MIXED",51,2,1.27,65
2012,FRANKLIN,"SEA BASS, MIXED",5397,82,1,5387
2012,HERNANDO,"SEA BASS, MIXED",84,8,0.85,72
2012,HILLSBOROUGH,"SEA BASS, MIXED",281,10,0.97,272
2012,INDIAN RIVER,"SEA BASS, MIXED",2056,39,1.87,3848
2012,Inland/Out-of-State,"SEA BASS, MIXED",46,1,1.77,82
2012,LEE,"SEA BASS, MIXED",44,4,0.58,25
2012,LEVY,"SEA BASS, MIXED",170,4,1.41,240
2012,MANATEE,"SEA BASS, MIXED",1,1,0.85,1
2012,MARTIN,"SEA BASS, MIXED",812,17,2.05,1666
2012,MONROE,"SEA BASS, MIXED",392,1,2.54,996
2012,OKALOOSA,"SEA BASS, MIXED",33,3,1.56,52
2012,PALM BEACH,"SEA BASS, MIXED",91,4,1.6,146
2012,PASCO,"SEA BASS, MIXED",649,8,0.85,549
2012,PINELLAS,"SEA BASS, MIXED",2543,137,1.08,2739
2012,ST JOHNS,"SEA BASS, MIXED",461,15,1.66,764
2012,ST LUCIE,"SEA BASS, MIXED",4723,50,1.78,8393
2012,TAYLOR,"SEA BASS, MIXED",33309,52,0.98,32770
2012,VOLUSIA,"SEA BASS, MIXED",55230,97,1.8,99688
2012,WAKULLA,"SEA BASS, MIXED",298380,564,1.28,382324
2013,BAY,"SEA BASS, MIXED",13642,25,0.87,11814
2013,BREVARD,"SEA BASS, MIXED",2828,114,2.19,6190
2013,CHARLOTTE,"SEA BASS, MIXED",1,1,1.69,2
2013,CITRUS,"SEA BASS, MIXED",293,49,0.88,258
2013,DIXIE,"SEA BASS, MIXED",306744,759,0.9,276805
2013,DUVAL,"SEA BASS, MIXED",3418,95,1.77,6050
2013,ESCAMBIA,"SEA BASS, MIXED",36,4,1.17,42
2013,FRANKLIN,"SEA BASS, MIXED",16847,103,1,16897
2013,HERNANDO,"SEA BASS, MIXED",335,22,0.79,266
